id,number,gender,nation,academy,profession,class,competition_level,award_level,award_name,organization,award_type,award_date
1,201721110040,女,汉族,外国语学院,商务英语,商英1701,省级技能竞赛,优秀奖,“普译奖”全国大学生翻译比赛,中国高等教育学会外语教学研究分会(复赛),个体,2019-06-07
2,1610030137,女,土家族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1601,省级技能竞赛,优秀奖,“普译奖”全国大学生英语写作大赛,“普译奖”全国大学生英语写作大赛组委会,个体,2018-11-01
3,201821110118,女,汉族,法学院,法学类,法1802,院级技能竞赛,三等奖,外语文化节之外语配音大赛,外国语学院,团体,2019-04-25
4,201821120070,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1802,校级技能竞赛,优秀奖,“济世杯”系列就业指导活动之就业创业纪录片创作大赛,中南财经政法大学就业指导服务中心,团体,2018-12-09
5,201721040237,女,汉族,法学院,法学,外法1702,院级技能竞赛,一等奖,“在商言商”商务谈判大赛,工商管理学院,团体,2019-05-16
6,201721020016,女,汉族,经济学院,国际商务,国商1701,院级技能竞赛,一等奖,“财女郎”职场礼仪大赛,会计学院,个体,2019-04-11
7,201721030371,男,汉族,金融学院,保险学（精算）,保精1701,校级技能竞赛,二等奖,湖北省大学生营销策划能力竞赛,湖北省市场营销学会（初赛）,团体,2019-06-01
8,1611000134,男,汉族,外国语学院,英语,英语1601,省级技能竞赛,优秀奖,中西部外语翻译大赛（决赛）,中西部外语翻译大赛组织委员会,个体,2019-03-06
9,201721020074,女,汉族,经济学院,经济学,经济1704,省级技能竞赛,二等奖,全国大学生英语竞赛,高等学校大学外语教学指导委员会(初赛),个体,2019-05-12
10,201721060075,女,汉族,工商管理学院,工商管理（国际班）,工商国际1701,省级技能竞赛,三等奖,“普译奖”全国大学生英语写作大赛,“普译奖”全国大学生英语写作大赛组委会,个体,2018-11-27
11,1608010217,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,省级技能竞赛,二等奖,全国大学生英语竞赛,高等学校大学外语教学指导委员会(初赛),个体,2019-05-12
12,1608020230,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1602,省级技能竞赛,三等奖,“普译奖”全国大学生翻译比赛,中国高等教育学会外语教学研究分会(复赛),个体,2019-06-14
13,201821130294,女,汉族,信息与安全工程学院,计算机类,信息1801,院级技能竞赛,三等奖,“中南杯”计算机设计大赛,中南财经政法大学信息与安全工程学院,团体,2019-04-05
14,1623020330,男,土家族,中韩新媒体学院,电影学（影像）,影像1603,省级技能竞赛,三等奖,红枫大学生记者节新闻作品大赛,湖南省新闻工作者协会,个体,2018-11-28
15,201821050030,男,汉族,刑事司法学院,公安学类,公安1803,院级技能竞赛,优秀奖,“刑侦中南”案例演习大赛,共青团刑事司法学院委员会,团体,2019-05-23
16,201721080257,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,校级技能竞赛,三等奖,“外研社杯”全国英语阅读大赛,教育部高等学校大学外语教学指导委员会(初赛),个体,2018-10-06
17,1606050205,女,汉族,工商管理学院,市场营销,市营1602,校级技能竞赛,二等奖,“外研社杯”全国英语写作大赛,教育部高等学校大学外语教学指导委员会(初赛),个体,2018-09-30
18,201721110095,女,汉族,外国语学院,英语,英语1704,院级技能竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-28
19,1607010324,女,汉族,财政税务学院,财政学,财政1603,校级技能竞赛,二等奖,“外研社杯”全国英语阅读大赛,教育部高等学校大学外语教学指导委员会(初赛),个体,2018-12-01
20,201721100034,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,校级技能竞赛,一等奖,高校模拟集体谈判大赛,中国人力资源开发研究会劳动关系分会(校赛),个体,2019-06-08
21,201821040811,女,汉族,法学院,法学类,法1808,院级技能竞赛,三等奖,外语文化节之外语配音大赛,外国语学院,团体,2019-09-02
22,201721020216,女,汉族,经济学院,经济学,经济1704,院级技能竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-06-28
23,201721030473,女,汉族,金融学院,金融学（CFA）,CFA1701,院级技能竞赛,三等奖,CFA全球投资分析大赛,CFA协会（校内赛）,团体,2019-05-31
24,1609030109,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,省级技能竞赛,三等奖,全国大学生数学建模竞赛（CUMCM）,中国工业与应用数学学会,团体,2018-11-07
25,1612040142,男,汉族,新闻与文化传播学院,广播电视学,广电1601,院级技能竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-03-01
26,1608030419,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1604,校级技能竞赛,优秀奖,湖北省外语翻译大赛,湖北省翻译工作者协会(初赛),个体,2019-01-07
27,1610080112,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,国家级技能竞赛,三等奖,全国大学生城市管理竞赛,中国区域科学协会城市管理专业委员会(决赛),团体,2018-10-13
28,201721320016,女,汉族,文澜学院,经济管理试验班,经管1702,院级技能竞赛,二等奖,经济与管理案例分析大赛,文澜学院,团体,2018-11-24
29,1610030156,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1601,国家级技能竞赛,二等奖,全国高校模拟集体谈判大赛,中国人力资源开发研究会劳动关系分会(总决赛),团体,2018-10-14
30,201721100035,男,汉族,法学院,法学（中美）,国法1701,省级技能竞赛,优秀奖,“法理争鸣”湖北省高校法学专业辩论赛,湖北高校法学辩论联盟、武汉市文化局,团体,2019-04-22
31,201721130280,女,汉族,信息与安全工程学院,计算机科学与技术,计科1701,院级技能竞赛,三等奖,“中南杯”计算机设计大赛,中南财经政法大学信息与安全工程学院,个体,2019-05-10
32,1610080126,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,省级技能竞赛,一等奖,全国大学生城市管理竞赛,中国区域科学协会城市管理专业委员会(初赛),团体,2018-09-22
33,1612040116,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1601,院级技能竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-07
34,1609050111,女,汉族,信息与安全工程学院,计算机科学与技术,计科1601,国家级技能竞赛,二等奖,大学生计算机设计大赛,教育部,团体,2019-08-11
