id,number,gender,nation,academy,profession,class,competition_level,award_level,award_name,organization,award_type,award_date
1,201821050081,男,汉族,刑事司法学院,公安学类,公安1804,院级文艺赛事,一等奖,“中华颂”诗词大赛,新闻与文化传播学院 刑事司法学院,团体,2019-10-28
2,1606060139,女,汉族,工商管理学院,人力资源管理,人力1601,校级文艺赛事,二等奖,“青云杯”诗文书画摄影大赛,中南财经政法大学体育部 教务部,个体,2017-12-20
3,201821090070,男,汉族,统计与数学学院,经济统计学,经统1801,院级文艺赛事,二等奖,"""诗颂中南""朗诵比赛",统计与数学学院,团体,2018-11-09
4,201821120032,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1803,校级文艺赛事,优秀奖,“大学启程”新生征文大赛,中南财经政法大学党委宣传部,团体,2018-12-28
5,201821050122,男,汉族,刑事司法学院,公安学类,公安1805,校级文艺赛事,三等奖,“希贤杯”系列竞赛之“一二·九”诗词（诗歌散文）大赛,共青团中南财经政法大学委员会（希贤杯）,团体,2018-10-08
6,1612030108,女,汉族,新闻与文化传播学院,汉语言文学,中文1601,校级文艺赛事,二等奖,“希贤杯”系列竞赛之“足尖上的青春”校园舞蹈大赛,共青团中南财经政法大学委员会,团体,2019-05-19
7,201821140005,女,壮族,哲学院,社会学,社会1801,校级文艺赛事,优秀奖,“希贤杯”系列竞赛之“足尖上的青春”校园舞蹈大赛,共青团中南财经政法大学委员会,团体,2019-05-19
8,201821020083,女,汉族,经济学院,经济学,经济1803,校级文艺赛事,二等奖,“我的大学 我的梦”本科新生征文活动,中南财经政法大学学工部,个体,2018-09-01
9,201821020128,女,普米族,经济学院,经济学,经济1802,院级文艺赛事,一等奖,“学蕴中南”诗歌朗诵比赛,经济学院,团体,2018-11-09
10,201821030177,男,汉族,金融学院,金融学类,金融1801,院级文艺赛事,优秀奖,交谊舞大赛,金融学院,团体,2018-11-24
11,201721090212,女,汉族,统计与数学学院,经济统计学,经统1701,校级文艺赛事,优秀奖,“希贤杯”系列竞赛之“足尖上的青春”校园舞蹈大赛,共青团中南财经政法大学委员会,团体,2019-05-20
12,201721050108,男,汉族,刑事司法学院,边防管理,边管1701,校级文艺赛事,一等奖,“希贤杯”系列竞赛之“足尖上的青春”校园舞蹈大赛,共青团中南财经政法大学委员会,团体,2019-05-19
13,201821100164,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1803,院级文艺赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-28
14,201821030414,女,汉族,金融学院,金融学类,金融1806,院级文艺赛事,优秀奖,交谊舞大赛,金融学院,团体,2018-11-24
15,201821100043,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1802,校级文艺赛事,优秀奖,“希贤杯”系列竞赛之“足尖上的青春”校园舞蹈大赛,共青团中南财经政法大学委员会,团体,2019-05-04
16,1604060149,男,汉族,法学院,法学,民商1601,校级文艺赛事,一等奖,“青云杯”诗文书画摄影大赛,中南财经政法大学体育部 教务部,个体,2018-10-25
17,201821080194,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1801,校级文艺赛事,优秀奖,“大学启程”新生征文大赛,中南财经政法大学党委宣传部,个体,2018-12-08
18,201821110121,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,校级文艺赛事,二等奖,“清风妙笔书廉心”廉政文化作品大赛,中南财经政法大学纪检监察部,个体,2019-06-05
19,201821100152,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1801,校级文艺赛事,优秀奖,“希贤杯”系列竞赛之“足尖上的青春”校园舞蹈大赛,共青团中南财经政法大学委员会,团体,2019-05-19
20,201721040070,女,汉族,法学院,法学,法制1702,院级文艺赛事,优秀奖,”灋说青年“系列比赛,法学院,团体,2019-09-09
21,201821040492,女,汉族,法学院,法学类,法1809,院级文艺赛事,二等奖,法学院青年颂比赛,法学院,团体,2019-04-14
22,201721040552,女,汉族,法学院,法学,法1706,院级文艺赛事,优秀奖,”灋说青年“系列比赛,法学院,团体,2019-09-09
23,201821080103,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1801,院级文艺赛事,三等奖,班级凝聚力展示大赛,会计学院,团体,2019-04-30
24,201721020175,女,汉族,经济学院,经济学,经济1704,院级文艺赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-07
25,201721040244,女,汉族,法学院,法学,法1710,校级文艺赛事,三等奖,“青云杯”诗文书画摄影大赛,中南财经政法大学体育部 教务部,个体,2018-10-25
26,201821060372,女,汉族,工商管理学院,工商管理类,工商1802,校级文艺赛事,二等奖,“旅程”微视频大赛,中南财经政法大学学生工作部,个体,2018-09-18
27,201821100258,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,院级文艺赛事,一等奖,新生风采（才艺）大赛,各学院团委,团体,2018-11-25
28,201721040211,女,汉族,法学院,法学,法1709,院级文艺赛事,三等奖,法学院青年颂比赛,法学院,团体,2019-06-08
29,201823020311,男,汉族,经济学院,经济学,经济1801,院级文艺赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-09
30,201821100243,男,汉族,经济学院,国际商务,国商1801,院级文艺赛事,三等奖,新生风采（才艺）大赛,各学院团委,团体,2018-11-25
31,201821030084,女,汉族,金融学院,管理科学与工程类,管工1803,院级文艺赛事,优秀奖,交谊舞大赛,金融学院,团体,2018-11-24
32,201821030418,女,汉族,金融学院,金融学类,金融1802,院级文艺赛事,三等奖,交谊舞大赛,金融学院,团体,2018-11-24
33,201829080347,女,蒙古族,会计学院（会计硕士专业学位教育中心）,会计学,会计1802,院级文艺赛事,三等奖,班级凝聚力展示大赛,会计学院,个体,2019-04-30
34,201821120123,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1802,院级文艺赛事,优秀奖,院级摄影比赛,各学院,个体,2019-05-05
35,201721040104,女,汉族,法学院,法学,法1709,院级文艺赛事,三等奖,法学院青年颂比赛,法学院,团体,2019-04-14
36,201721040450,男,汉族,法学院,法学,法1709,院级文艺赛事,优秀奖,法学院青年颂比赛,法学院,团体,2019-04-14
37,201821030270,女,汉族,金融学院,管理科学与工程类,管工1801,院级文艺赛事,一等奖,交谊舞大赛,金融学院,团体,2018-11-24
38,201821040183,女,汉族,法学院,法学类,法1809,院级文艺赛事,二等奖,法学院青年颂比赛,法学院,团体,2019-04-14
39,201721120064,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,院级文艺赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-27
40,201821020274,女,汉族,经济学院,经济学,经济1801,院级文艺赛事,二等奖,“学蕴中南”诗歌朗诵比赛,经济学院,团体,2018-11-06
41,201821030483,男,汉族,金融学院,金融学类,金融1803,院级文艺赛事,优秀奖,交谊舞大赛,金融学院,团体,2018-11-24
42,201721060302,女,汉族,工商管理学院,人力资源管理,人力1701,院级文艺赛事,优秀奖,五四青年演讲比赛,工商管理学院,个体,2019-05-04
43,201821030368,女,汉族,金融学院,管理科学与工程类,管工1803,院级文艺赛事,优秀奖,交谊舞大赛,金融学院,团体,2018-11-24
44,201821030038,女,汉族,金融学院,金融学类,金融1808,院级文艺赛事,三等奖,交谊舞大赛,金融学院,团体,2018-11-24
45,201721040324,女,汉族,法学院,法学,民商1701,院级文艺赛事,一等奖,法学院青年颂比赛,法学院,团体,2019-04-14
